numords,totdol,last,buy
2,48,506,0
1,99,382,0
1,129,381,0
3,279,36,0
1,49,366,0
1,11,134,0
1,30,105,0
1,89,100,0
1,219,53,0
1,29,45,0
1,69,24,0
6,278,857,0
4,593,564,0
2,80,479,0
3,339,18,0
3,292,366,0
5,177,42,0
6,370,154,0
1,49,1095,0
2,98,304,0
1,44,94,0
75,5167,81,0
7,585,611,1
4,273,242,0
4,1630,11,0
2,263,625,0
9,736,193,0
3,320,431,0
7,560,53,0
1,137,1114,0
3,150,53,0
2,198,599,0
2,208,368,0
1,71,478,0
1,159,426,0
3,395,4,0
9,403,8,0
2,178,513,0
8,401,430,1
3,678,646,0
1,44,478,0
1,99,371,0
2,128,220,0
7,244,43,0
2,388,917,0
9,800,361,1
4,486,147,0
2,283,158,0
1,49,199,0
1,77,78,0
49,3734,716,1
5,867,463,0
1,17,918,0
2,39,898,0
2,198,478,0
1,61,347,0
1,162,73,0
3,217,39,0
22,1258,58,0
11,712,100,0
1,59,738,0
1,104,241,0
1,99,91,0
1,139,17,0
14,371,25,0
2,158,24,0
3,427,739,0
4,335,497,0
4,147,421,0
3,71,373,0
6,937,99,0
6,473,798,1
1,29,982,0
5,211,39,0
1,19,907,0
2,185,423,0
2,168,353,0
4,393,200,0
9,336,336,1
3,796,242,0
6,984,67,0
5,1011,10,0
2,74,95,0
2,140,843,0
3,654,455,0
1,79,917,0
1,49,745,0
1,269,39,0
7,172,8,0
2,256,497,0
5,262,4,0
4,1050,567,0
86,5672,149,0
1,27,1012,0
1,62,123,0
1,74,32,0
20,1284,58,0
7,479,952,1
5,698,308,0
3,237,588,0
1,74,429,0
1,159,298,0
4,439,728,0
5,205,225,0
1,164,172,0
6,406,346,1
2,198,513,0
19,963,716,1
2,96,39,0
1,92,100,0
3,146,430,0
28,1548,25,0
3,258,445,0
4,285,634,0
2,140,751,0
4,347,973,0
1,209,660,0
1,59,487,0
15,1370,478,1
82,3345,30,0
3,487,765,0
5,193,46,0
4,166,87,0
9,1638,53,0
2,112,1023,0
1,19,441,0
1,39,912,0
2,218,451,0
15,316,645,1
1,26,492,0
2,204,266,0
1,42,196,0
16,769,493,1
9,518,438,1
2,388,561,0
4,570,46,0
1,62,861,0
1,449,765,0
1,64,319,0
3,237,67,0
1,12,130,0
26,612,317,1
17,698,18,0
15,2348,248,1
6,345,102,0
6,780,368,1
3,448,604,0
2,408,1099,0
13,1587,95,0
3,517,71,0
2,201,904,0
2,54,884,0
10,670,426,1
4,231,28,0
2,142,493,0
2,125,275,0
2,173,459,0
2,143,389,0
1,199,15,0
13,1025,569,1
3,182,204,0
1,39,242,0
9,651,18,0
1,89,177,0
2,308,25,0
38,1605,913,1
18,1070,596,1
4,123,53,0
10,855,72,0
1,203,981,0
4,251,805,0
4,374,176,0
2,128,410,0
4,401,1089,0
4,956,30,0
2,307,627,0
1,299,408,0
2,138,373,0
1,149,352,0
1,59,176,0
41,4695,60,0
5,732,108,0
5,324,410,0
12,2236,4,0
1,388,1092,0
4,382,23,0
1,239,711,0
8,920,148,0
24,1016,35,0
5,690,142,0
5,207,35,0
1,59,351,0
19,1496,249,1
3,302,773,0
7,578,129,0
2,118,295,0
2,468,588,0
7,403,49,0
2,88,703,0
40,2770,114,0
23,2287,102,0
7,485,833,1
3,117,366,0
3,114,361,0
2,102,840,0
3,441,9,0
2,188,1107,0
2,198,319,0
1,19,1110,0
3,227,742,0
1,161,1033,0
2,92,588,0
1,39,910,0
2,174,767,0
1,29,746,0
4,557,1,0
3,253,109,0
1,101,400,0
2,223,358,0
1,259,309,0
1,89,114,0
1,39,9,0
21,1527,25,0
25,1140,639,1
21,624,427,1
4,515,501,0
1,119,1115,0
2,61,487,0
2,1120,896,0
1,99,392,0
3,572,1,0
2,148,141,0
4,405,35,0
2,91,1114,0
5,185,1108,0
5,241,92,0
4,97,478,0
9,592,169,0
1,59,206,0
3,420,60,0
29,589,631,1
5,804,738,0
5,177,361,0
5,1493,527,0
3,270,746,0
1,19,1087,0
1,59,900,0
1,103,890,0
6,446,323,1
4,421,442,0
4,116,669,0
2,174,267,0
1,79,599,0
1,19,597,0
3,121,135,0
1,99,305,0
40,2563,21,0
4,315,388,0
3,208,235,0
1,109,553,0
1,59,396,0
17,1040,494,1
2,89,116,0
1,104,10,0
3,229,29,0
3,458,753,0
7,426,381,1
6,522,109,0
1,107,1061,0
3,187,343,0
1,599,728,0
1,125,694,0
1,34,603,0
4,59,56,0
1,99,403,0
1,199,381,0
1,69,190,0
1,39,175,0
1,224,99,0
13,851,672,1
9,541,15,0
2,58,1010,0
1,27,395,0
6,275,253,0
14,805,94,0
23,886,60,0
4,197,203,0
25,3384,22,0
3,237,891,0
7,780,123,0
5,442,207,0
8,510,876,1
5,157,226,0
2,314,463,0
6,130,435,0
6,217,1081,0
12,568,414,1
3,247,87,0
6,401,31,0
2,403,30,0
5,592,11,0
10,790,6,0
9,715,11,0
4,202,931,0
2,90,298,0
1,71,478,0
2,310,1012,0
4,348,161,0
7,406,389,1
8,127,492,0
2,148,833,0
5,346,861,0
1,156,1022,0
2,224,980,0
2,148,931,0
7,264,437,0
1,99,967,0
6,458,311,1
11,1316,43,0
2,45,728,0
1,26,849,0
9,1281,59,0
6,736,56,0
2,73,93,0
1,159,722,0
4,108,122,0
2,309,560,0
4,76,441,0
5,224,43,0
3,187,17,0
3,555,46,0
3,202,172,0
1,134,401,0
1,168,373,0
1,59,298,0
1,59,263,0
1,229,71,0
1,19,53,0
1,179,42,0
3,139,718,0
9,825,11,0
7,336,567,1
4,209,899,0
3,137,989,0
14,2240,25,0
5,388,354,0
2,132,129,0
2,97,757,0
2,368,245,0
1,104,1094,0
1,174,975,0
6,359,400,1
3,187,185,0
3,586,350,0
2,74,113,0
3,140,436,0
6,304,172,0
1,58,459,0
19,845,60,0
4,226,1072,0
2,236,109,0
1,149,743,0
1,89,680,0
1,25,487,0
1,39,183,0
16,1245,233,1
3,150,959,0
2,186,423,0
4,386,18,0
1,129,809,0
2,83,158,0
52,3901,406,1
15,679,28,0
15,2323,928,1
17,787,113,0
4,536,494,0
7,1506,142,0
5,255,673,0
2,26,557,0
6,490,578,1
1,52,1024,0
3,179,837,0
1,26,864,0
1,400,829,0
3,322,283,0
5,648,15,0
2,238,114,0
1,99,494,0
1,39,368,0
2,138,211,0
1,99,44,0
1,8,25,0
13,792,155,0
6,296,366,0
3,147,633,0
1,190,987,0
1,240,693,0
2,119,799,0
1,74,10,0
10,1215,28,0
3,146,830,0
18,1248,38,0
2,301,634,0
4,277,744,0
3,145,232,0
2,118,51,0
2,102,630,0
1,286,407,0
1,19,35,0
1,19,28,0
1,159,22,0
1,39,21,0
7,469,112,0
7,338,858,1
1,34,858,0
1,62,857,0
10,1111,276,1
1,229,371,0
1,89,366,0
1,39,359,0
17,1690,66,0
2,369,771,0
1,12,203,0
1,19,423,0
11,564,95,0
4,118,616,0
2,94,1093,0
4,293,401,0
1,19,793,0
1,164,527,0
2,93,108,0
2,32,128,0
1,79,127,0
7,441,393,1
13,961,162,0
31,1580,23,0
13,921,857,1
7,629,301,1
3,174,365,0
2,127,504,0
3,689,42,0
7,275,98,0
1,119,1107,0
2,260,525,0
3,407,592,0
5,262,486,0
1,52,605,0
2,172,436,0
1,94,492,0
2,163,130,0
1,139,395,0
1,184,239,0
1,11,113,0
6,237,725,0
3,222,22,0
1,34,1109,0
2,198,93,0
4,274,716,0
1,101,787,0
3,101,37,0
2,98,553,0
1,99,596,0
3,139,123,0
3,229,27,0
1,116,114,0
1,79,46,0
7,761,14,0
42,2773,21,0
14,540,387,1
2,143,1015,0
6,249,851,0
5,359,437,0
18,2048,98,0
2,158,911,0
1,132,1099,0
1,79,1058,0
2,78,731,0
2,28,732,0
2,137,865,0
2,78,823,0
1,26,837,0
1,132,764,0
2,118,728,0
1,289,704,0
2,118,394,0
1,244,298,0
1,79,252,0
1,98,123,0
1,98,11,0
68,4203,21,0
6,323,350,1
3,704,35,0
1,129,539,0
2,158,347,0
1,89,133,0
1,304,18,0
4,85,1092,0
5,717,438,0
3,527,757,0
3,430,373,0
2,138,973,0
5,399,534,0
1,44,109,0
2,288,758,0
1,219,1047,0
1,59,710,0
1,89,655,0
4,777,437,0
3,159,102,0
1,44,462,0
1,64,346,0
3,320,24,0
1,55,224,0
1,109,154,0
21,1630,284,1
4,383,676,0
2,508,56,0
4,150,311,0
2,778,618,0
3,149,598,0
1,53,478,0
1,19,225,0
23,1313,147,0
9,587,178,0
14,1643,311,1
4,1169,3,0
5,658,119,0
2,469,935,0
3,382,935,0
5,659,240,0
4,411,375,0
2,109,767,0
5,209,385,0
4,536,18,0
3,259,109,0
3,304,449,0
2,29,742,0
1,274,757,0
3,491,543,0
4,351,382,0
2,383,269,0
2,152,358,0
1,69,394,0
1,249,319,0
1,59,179,0
1,52,158,0
1,31,119,0
19,936,137,0
4,492,464,0
1,65,926,0
1,119,800,0
13,1262,569,1
47,4691,35,0
31,3552,24,0
7,655,261,1
7,388,4,0
5,722,98,0
4,215,277,0
4,492,507,0
5,580,906,0
3,167,798,0
6,314,1,0
4,400,893,0
4,295,392,0
4,212,417,0
8,205,730,0
3,107,610,0
3,489,862,0
1,157,1065,0
4,166,18,0
2,226,728,0
1,49,854,0
4,784,442,0
1,7,847,0
2,278,786,0
2,178,771,0
3,395,101,0
1,19,725,0
1,59,718,0
8,1674,11,0
2,753,571,0
6,259,270,0
2,258,648,0
2,83,148,0
1,79,623,0
2,174,450,0
2,196,116,0
1,209,528,0
1,129,431,0
3,87,119,0
2,98,387,0
1,59,385,0
2,139,112,0
1,209,360,0
4,290,1,0
1,134,329,0
4,242,22,0
1,89,246,0
2,224,197,0
1,214,134,0
2,206,25,0
6,260,120,0
1,12,905,0
2,254,119,0
3,297,43,0
1,89,317,0
1,119,121,0
1,26,102,0
3,117,16,0
1,139,933,0
8,314,220,1
1,102,311,0
1,161,95,0
61,4313,282,1
6,691,828,1
2,198,409,0
2,278,486,0
4,478,759,0
4,666,395,0
2,83,291,0
1,80,791,0
1,188,735,0
4,793,200,0
2,133,277,0
1,39,380,0
2,136,123,0
1,206,353,0
1,22,116,0
1,49,37,0
1,109,14,0
27,2692,185,0
7,576,631,1
2,178,357,0
3,201,469,0
1,44,632,0
2,183,156,0
5,422,77,0
11,1269,753,1
4,346,444,0
4,590,36,0
3,70,1095,0
2,320,24,0
3,227,1095,0
6,669,127,0
1,119,893,0
4,451,275,0
3,136,624,0
1,64,757,0
1,149,746,0
2,654,592,0
1,169,562,0
1,99,547,0
1,44,98,0
4,585,32,0
1,99,18,0
68,4507,32,0
4,308,345,0
4,132,919,0
13,725,18,0
1,147,968,0
4,194,67,0
2,293,717,0
4,397,290,0
1,71,465,0
14,306,182,0
2,127,739,0
3,250,634,0
5,639,11,0
5,81,563,0
3,188,485,0
3,391,25,0
3,224,904,0
7,692,26,0
2,53,401,0
1,89,751,0
1,169,674,0
2,328,351,0
2,138,122,0
36,1285,32,0
11,640,87,0
4,104,939,0
1,19,1113,0
3,395,17,0
1,29,74,0
12,692,568,1
3,584,394,0
2,168,275,0
1,69,612,0
1,99,511,0
1,99,32,0
4,191,1072,0
1,162,926,0
8,229,270,0
2,10,843,0
2,75,534,0
2,328,651,0
1,79,326,0
1,179,17,0
4,199,116,0
3,131,756,0
1,139,921,0
5,537,66,0
2,286,514,0
2,199,260,0
9,452,269,1
7,583,1003,1
3,204,745,0
2,209,42,0
3,507,517,0
2,603,282,0
2,63,675,0
2,148,379,0
1,19,576,0
1,69,568,0
1,177,542,0
1,39,185,0
2,78,79,0
1,29,1026,0
1,39,1008,0
1,29,401,0
2,152,128,0
5,204,840,0
1,59,737,0
1,19,723,0
1,206,512,0
1,19,214,0
2,291,722,0
1,357,456,0
2,363,714,0
1,104,980,0
17,494,612,1
5,413,722,0
6,528,204,1
4,75,402,0
1,15,178,0
1,188,149,0
11,309,513,1
11,583,484,1
5,477,165,0
1,29,191,0
2,442,1012,0
24,844,18,0
7,264,1092,0
11,345,95,0
4,270,1026,0
1,109,21,0
14,587,206,1
1,39,674,0
2,158,522,0
1,49,414,0
1,19,357,0
28,2591,87,0
4,431,441,0
3,142,744,0
4,257,555,0
3,139,724,0
1,15,634,0
1,39,176,0
6,296,848,0
9,155,568,0
2,413,1044,0
1,59,910,0
1,143,774,0
1,14,554,0
2,203,408,0
6,804,207,1
3,267,549,0
3,257,592,0
1,49,359,0
1,99,402,0
2,64,1092,0
3,225,835,0
2,138,53,0
9,530,378,1
2,28,32,0
1,134,501,0
5,355,53,0
2,158,354,0
1,39,582,0
14,446,122,0
6,187,275,0
3,332,431,0
5,372,72,0
2,98,416,0
1,39,437,0
1,89,420,0
1,44,417,0
1,99,247,0
1,14,323,0
1,49,193,0
2,238,945,0
3,133,392,0
1,53,23,0
9,92,408,0
3,167,396,0
3,445,178,0
1,79,1109,0
3,236,249,0
1,80,116,0
8,384,396,1
1,89,574,0
1,80,522,0
3,272,385,0
6,1044,301,1
4,191,393,0
1,53,821,0
2,224,679,0
1,89,569,0
3,146,137,0
2,195,25,0
1,40,74,0
1,49,1032,0
1,49,388,0
4,194,381,0
1,19,326,0
6,563,725,1
6,331,455,1
10,510,73,0
1,53,872,0
1,89,742,0
5,260,178,0
1,89,634,0
2,150,627,0
1,39,49,0
9,249,366,0
5,135,738,0
1,49,732,0
1,79,660,0
5,289,1036,0
4,321,742,0
4,491,221,0
1,19,633,0
5,331,214,0
1,34,371,0
29,1407,666,1
12,908,739,1
22,995,5,0
10,444,9,0
7,428,1005,1
3,79,994,0
3,173,758,0
5,366,738,0
1,295,1050,0
2,228,158,0
2,98,620,0
1,129,746,0
1,29,722,0
1,69,680,0
2,338,56,0
1,159,329,0
1,39,316,0
1,279,197,0
44,2492,199,0
1,39,1108,0
3,63,182,0
7,364,809,1
9,411,367,1
3,132,401,0
3,708,275,0
1,199,514,0
2,128,511,0
1,139,458,0
2,275,168,0
3,199,158,0
1,36,473,0
5,265,424,0
3,197,1074,0
2,238,480,0
1,49,940,0
1,89,640,0
1,149,786,0
1,79,392,0
3,507,39,0
1,59,315,0
8,676,738,1
1,79,9,0
15,1014,576,1
2,56,253,0
2,204,534,0
3,267,609,0
2,143,956,0
1,164,129,0
1,59,1053,0
1,165,1051,0
7,524,478,1
1,59,548,0
1,119,451,0
1,19,360,0
2,81,73,0
7,270,644,0
2,184,738,0
3,319,674,0
1,99,675,0
1,124,382,0
1,39,49,0
1,69,30,0
6,244,354,0
3,150,858,0
1,159,610,0
56,2704,58,0
6,447,92,0
2,98,353,0
8,225,497,0
6,330,403,1
1,449,1053,0
1,17,517,0
1,194,190,0
4,152,16,0
1,34,668,0
3,322,487,0
2,114,767,0
1,109,997,0
2,238,871,0
3,182,508,0
2,428,50,0
10,316,211,1
5,183,477,0
6,354,154,0
2,228,403,0
3,372,1054,0
2,123,407,0
3,167,737,0
1,99,1031,0
5,346,505,0
1,26,883,0
2,101,463,0
1,69,828,0
2,116,772,0
1,89,583,0
1,119,354,0
1,9,81,0
1,69,64,0
22,1219,129,0
6,224,59,0
1,39,746,0
1,94,620,0
22,1812,392,1
2,273,240,0
15,433,448,1
4,492,144,0
6,784,122,0
5,296,560,0
3,157,219,0
3,192,641,0
1,119,563,0
4,296,252,0
2,248,214,0
2,244,863,0
1,125,869,0
7,179,555,0
6,447,99,0
1,39,392,0
6,516,599,1
1,22,749,0
2,38,420,0
2,157,883,0
2,78,25,0
1,94,36,0
9,1288,437,1
5,349,919,0
2,78,651,0
1,149,634,0
1,35,501,0
2,138,571,0
1,121,1107,0
5,615,324,0
9,1159,284,1
3,111,373,0
4,241,770,0
2,248,67,0
1,39,791,0
2,184,249,0
2,103,809,0
2,188,618,0
5,486,828,0
1,69,562,0
1,35,437,0
1,80,484,0
4,217,175,0
1,189,470,0
16,678,310,1
8,596,778,1
3,365,185,0
8,774,227,1
8,1417,268,1
3,241,556,0
1,29,757,0
1,44,350,0
1,49,185,0
8,564,662,1
3,359,227,0
3,157,956,0
1,80,827,0
3,134,289,0
4,71,324,0
2,248,266,0
2,136,778,0
1,29,319,0
8,417,158,0
1,39,1079,0
2,138,492,0
2,203,928,0
2,38,626,0
3,72,128,0
3,497,599,0
4,584,589,0
4,293,158,0
4,202,193,0
1,19,42,0
1,29,45,0
3,127,31,0
5,291,522,0
3,187,1051,0
5,325,4,0
1,35,1011,0
1,112,884,0
2,198,522,0
2,108,561,0
4,253,23,0
1,99,493,0
1,59,455,0
1,79,382,0
4,226,21,0
4,594,522,0
1,159,812,0
1,75,799,0
1,54,364,0
10,180,318,0
1,99,311,0
10,827,123,0
1,299,212,0
1,159,746,0
19,759,486,1
3,215,172,0
2,103,738,0
3,55,994,0
1,239,934,0
1,29,668,0
1,49,386,0
2,333,25,0
15,950,78,0
4,141,941,0
5,177,458,0
2,118,988,0
10,714,290,1
1,145,625,0
2,228,137,0
8,326,680,1
2,283,421,0
3,76,947,0
5,328,360,0
6,671,473,1
4,212,500,0
8,647,590,1
1,84,756,0
3,184,497,0
3,340,234,0
1,279,381,0
2,78,592,0
1,49,576,0
1,17,518,0
1,157,466,0
2,96,203,0
2,38,329,0
1,119,399,0
1,149,395,0
2,218,249,0
41,2773,14,0
49,1455,366,1
4,184,910,0
4,376,395,0
5,175,234,0
2,22,520,0
1,159,571,0
1,314,520,0
1,69,428,0
1,214,368,0
1,149,22,0
2,291,513,0
1,132,808,0
2,298,590,0
40,1410,177,0
14,648,849,1
3,209,1037,0
2,158,203,0
4,256,455,0
3,187,212,0
1,89,190,0
1,99,540,0
3,237,865,0
2,618,583,0
3,463,521,0
1,53,885,0
3,273,210,0
7,448,210,1
1,189,725,0
1,59,325,0
1,107,122,0
3,86,413,0
3,276,480,0
2,248,1086,0
3,245,157,0
2,58,396,0
5,550,375,0
6,425,406,1
3,75,835,0
1,109,422,0
1,9,472,0
1,49,723,0
1,49,415,0
2,138,11,0
1,109,38,0
5,309,464,0
3,199,81,0
1,44,105,0
1,72,641,0
4,396,227,0
5,426,179,0
8,285,59,0
3,372,171,0
1,169,886,0
1,171,619,0
2,38,247,0
7,476,848,1
5,421,128,0
1,29,946,0
2,43,606,0
1,79,564,0
2,268,246,0
21,2027,3,0
19,670,235,1
2,143,1092,0
1,49,17,0
1,69,673,0
2,119,508,0
1,29,463,0
5,1077,828,0
3,114,977,0
1,112,570,0
1,49,389,0
8,501,304,1
6,753,616,1
3,570,659,0
6,685,99,0
4,534,210,0
1,269,850,0
2,48,714,0
2,191,219,0
1,42,753,0
3,197,533,0
3,377,413,0
7,584,276,1
4,367,141,0
1,149,674,0
3,137,23,0
1,39,39,0
10,708,200,0
4,147,25,0
5,210,834,0
1,71,459,0
2,71,64,0
2,234,758,0
1,65,945,0
2,183,746,0
3,97,459,0
14,1253,23,0
3,188,1012,0
6,254,1052,0
1,125,883,0
1,74,585,0
19,1711,281,1
9,403,379,1
2,204,555,0
2,751,1093,0
1,39,638,0
3,157,109,0
2,139,373,0
2,161,116,0
15,813,387,1
4,311,1001,0
1,84,507,0
9,701,77,0
4,279,525,0
5,231,18,0
6,551,102,0
3,79,22,0
2,316,303,0
2,448,913,0
2,198,1074,0
1,19,890,0
2,493,294,0
1,15,270,0
4,216,100,0
5,451,4,0
5,350,382,0
59,6145,44,0
3,287,172,0
1,49,207,0
15,678,414,1
1,89,542,0
1,99,218,0
1,102,116,0
9,386,326,1
7,538,577,1
8,972,493,1
6,161,498,0
4,300,539,0
2,76,513,0
1,199,799,0
2,88,753,0
1,19,751,0
1,199,695,0
3,217,389,0
1,59,620,0
1,109,613,0
3,240,319,0
1,189,423,0
2,198,389,0
2,128,380,0
1,19,10,0
5,475,45,0
6,496,156,0
3,118,217,0
4,173,982,0
2,263,988,0
9,1023,60,0
6,654,182,0
5,1040,546,0
1,40,480,0
2,142,147,0
1,9,459,0
1,49,309,0
1,53,210,0
1,49,940,0
2,128,436,0
1,152,99,0
2,269,185,0
1,179,1096,0
3,297,807,0
2,353,70,0
1,98,140,0
3,157,674,0
1,39,921,0
4,207,123,0
1,79,136,0
1,109,22,0
22,510,410,1
3,107,1039,0
7,396,938,1
3,117,641,0
2,228,1011,0
3,181,325,0
2,193,676,0
1,154,683,0
1,34,29,0
4,515,32,0
6,200,16,0
2,148,1019,0
2,162,665,0
1,39,462,0
1,22,457,0
16,1544,63,0
2,143,1110,0
17,3580,185,0
1,19,318,0
2,132,883,0
3,299,283,0
3,85,479,0
1,29,752,0
1,25,724,0
4,386,402,0
11,524,543,1
1,75,134,0
2,243,281,0
2,98,578,0
15,654,428,1
4,643,249,0
3,227,1008,0
2,478,423,0
2,113,751,0
1,209,683,0
5,445,179,0
2,123,774,0
5,385,219,0
1,53,842,0
3,192,378,0
1,69,277,0
6,176,828,0
8,333,177,0
6,281,137,0
5,204,1074,0
1,17,835,0
3,292,135,0
4,288,834,0
22,1589,127,0
10,935,2,0
8,612,11,0
3,253,484,0
1,29,786,0
1,19,711,0
3,1036,294,0
1,237,35,0
6,292,658,0
4,208,358,0
1,267,963,0
1,89,865,0
7,409,217,1
3,225,982,0
2,68,645,0
1,7,428,0
1,29,360,0
1,54,200,0
1,49,158,0
1,74,15,0
13,861,589,1
1,29,718,0
1,203,638,0
2,180,231,0
3,377,639,0
10,748,85,0
1,149,498,0
1,39,858,0
1,19,459,0
6,177,175,0
2,67,715,0
4,191,791,0
1,109,555,0
11,1235,406,1
15,1251,287,1
4,534,752,0
39,2706,64,0
12,906,221,1
7,459,315,1
5,924,107,0
7,479,178,0
2,298,326,0
4,175,101,0
9,661,392,1
6,500,29,0
1,129,919,0
2,208,448,0
1,29,788,0
2,58,422,0
2,88,547,0
1,99,588,0
2,68,224,0
1,350,395,0
1,149,120,0
1,177,24,0
11,694,851,1
4,446,178,0
2,164,329,0
1,19,387,0
6,569,11,0
3,132,917,0
5,626,109,0
2,223,564,0
1,24,1085,0
4,549,443,0
2,162,466,0
1,39,640,0
1,109,667,0
1,89,413,0
1,119,64,0
8,500,151,0
7,1194,140,0
3,297,213,0
3,322,73,0
1,116,99,0
1,169,25,0
1,446,23,0
10,960,49,0
8,197,725,0
8,266,1108,0
6,1434,918,1
2,108,329,0
3,193,309,0
3,165,521,0
3,142,1,0
1,99,99,0
72,2737,275,1
1,161,114,0
11,820,358,1
3,240,878,0
4,785,463,0
8,635,130,0
1,19,192,0
4,316,917,0
1,19,728,0
1,99,612,0
2,103,115,0
2,223,72,0
6,385,821,1
9,876,143,0
6,512,191,0
2,111,1005,0
3,87,611,0
1,7,625,0
1,170,528,0
2,98,58,0
6,339,829,1
3,906,437,0
3,137,1089,0
2,190,763,0
1,109,767,0
4,204,114,0
1,44,520,0
2,124,430,0
1,35,484,0
1,109,354,0
4,425,29,0
3,225,583,0
14,1779,72,0
4,436,318,0
1,149,827,0
4,236,367,0
3,317,393,0
1,184,506,0
1,454,318,0
1,112,155,0
11,456,22,0
6,328,268,1
6,138,60,0
7,719,848,1
3,171,732,0
5,235,1009,0
1,159,1110,0
2,171,928,0
1,26,507,0
1,39,253,0
1,35,66,0
18,1224,290,1
10,506,683,1
3,185,1089,0
1,19,1108,0
2,108,554,0
2,75,24,0
2,246,385,0
1,79,583,0
2,190,52,0
1,39,407,0
1,199,305,0
1,99,80,0
9,1014,396,1
6,324,353,1
1,109,757,0
1,32,617,0
3,67,513,0
1,109,14,0
1,89,653,0
1,71,520,0
2,284,170,0
2,159,435,0
2,198,84,0
7,381,814,1
3,128,506,0
6,285,176,0
2,228,427,0
1,49,534,0
1,199,956,0
3,210,85,0
2,169,815,0
2,619,415,0
2,160,483,0
1,49,616,0
1,44,525,0
2,108,98,0
1,143,123,0
1,119,23,0
9,122,210,0
6,314,850,1
5,157,476,0
6,450,931,1
13,606,739,1
2,112,72,0
3,88,18,0
2,230,616,0
2,43,414,0
1,59,722,0
2,82,501,0
1,12,598,0
